图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-n预测正确,parasitized-预测置信度,uninfected-预测置信度
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170344_cell_100_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9971678853034973,0.0028321014251559973
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170344_cell_74_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8056578040122986,0.19434219598770142
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170344_cell_81_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9871898293495178,0.012810217216610909
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170344_cell_91_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9846807718276978,0.015319195576012135
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170344_cell_93_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8710015416145325,0.12899842858314514
D:\dataset\sr\val\parasitized\C102P63ThinF_IMG_20150918_161508_cell_193_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.6553775668144226,0.3446224331855774
D:\dataset\sr\val\parasitized\C102P63ThinF_IMG_20150918_162051_cell_145_RCAN_BIX4-official.png,0,parasitized,1,uninfected,0,parasitized,True,0.31036511063575745,0.6896348595619202
D:\dataset\sr\val\parasitized\C102P63ThinF_IMG_20150918_162300_cell_181_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8416521549224854,0.15834783017635345
D:\dataset\sr\val\parasitized\C102P63ThinF_IMG_20150918_162300_cell_182_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9501633048057556,0.0498366542160511
D:\dataset\sr\val\parasitized\C102P63ThinF_IMG_20150918_162511_cell_169_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9805529713630676,0.019447097554802895
D:\dataset\sr\val\parasitized\C102P63ThinF_IMG_20150918_162511_cell_172_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.5876697301864624,0.41233029961586
D:\dataset\sr\val\parasitized\C102P63ThinF_IMG_20150918_163054_cell_169_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9074649810791016,0.09253507107496262
D:\dataset\sr\val\parasitized\C103P64ThinF_IMG_20150918_164250_cell_170_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9992499947547913,0.000749919330701232
D:\dataset\sr\val\parasitized\C103P64ThinF_IMG_20150918_164331_cell_184_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8492516279220581,0.15074831247329712
D:\dataset\sr\val\parasitized\C103P64ThinF_IMG_20150918_164553_cell_168_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9869308471679688,0.013069222681224346
D:\dataset\sr\val\parasitized\C103P64ThinF_IMG_20150918_164553_cell_170_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9418414831161499,0.05815853178501129
D:\dataset\sr\val\parasitized\C104P65ThinF_IMG_20150918_172639_cell_184_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9775945544242859,0.0224054753780365
D:\dataset\sr\val\parasitized\C105P66ThinF_IMG_20150924_095034_cell_149_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.6099068522453308,0.3900931477546692
D:\dataset\sr\val\parasitized\C105P66ThinF_IMG_20150924_095716_cell_114_RCAN_BIX4-official.png,0,parasitized,1,uninfected,0,parasitized,True,0.26100271940231323,0.7389972805976868
D:\dataset\sr\val\parasitized\C106P67ThinF_IMG_20150924_103811_cell_183_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8867224454879761,0.11327751725912094
D:\dataset\sr\val\parasitized\C106P67ThinF_IMG_20150924_104044_cell_167_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9477234482765198,0.052276574075222015
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_221632_cell_172_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8745813369750977,0.12541870772838593
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_221909_cell_160_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.5490355491638184,0.45096445083618164
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_221909_cell_162_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.825434148311615,0.17456583678722382
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_222233_cell_156_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9315603971481323,0.06843962520360947
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_222233_cell_158_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.6825657486915588,0.31743428111076355
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_222415_cell_175_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9445219039916992,0.0554780587553978
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_222415_cell_177_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9574662446975708,0.04253373667597771
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_222415_cell_178_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.978902280330658,0.021097758784890175
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_222415_cell_181_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.7834134697914124,0.21658656001091003
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_222535_cell_143_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9831337332725525,0.016866248100996017
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_222535_cell_144_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.6559324860572815,0.3440675437450409
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_222535_cell_146_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9769097566604614,0.02309027686715126
D:\dataset\sr\val\parasitized\C107P68ThinF_IMG_20150924_222630_cell_176_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9427741169929504,0.05722586438059807
D:\dataset\sr\val\parasitized\C108P69ThinF_IMG_20150924_224038_cell_189_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9914036393165588,0.008596361614763737
D:\dataset\sr\val\parasitized\C108P69ThinF_IMG_20150924_224616_cell_197_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9953687191009521,0.004631320480257273
D:\dataset\sr\val\parasitized\C108P69ThinF_IMG_20150924_225004_cell_221_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9997431635856628,0.0002568555355537683
D:\dataset\sr\val\parasitized\C108P69ThinF_IMG_20150924_225004_cell_222_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9988964796066284,0.0011034469353035092
D:\dataset\sr\val\parasitized\C109P70ThinF_IMG_20150930_102716_cell_187_RCAN_BIX4-official.png,0,parasitized,1,uninfected,0,parasitized,True,0.10938125103712082,0.8906187415122986
D:\dataset\sr\val\parasitized\C109P70ThinF_IMG_20150930_102944_cell_172_RCAN_BIX4-official.png,0,parasitized,1,uninfected,0,parasitized,True,0.2148185521364212,0.78518146276474
D:\dataset\sr\val\parasitized\C109P70ThinF_IMG_20150930_103113_cell_162_RCAN_BIX4-official.png,0,parasitized,1,uninfected,0,parasitized,True,0.3265162706375122,0.6734837889671326
D:\dataset\sr\val\parasitized\C109P70ThinF_IMG_20150930_103214_cell_182_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.6648248434066772,0.33517512679100037
D:\dataset\sr\val\parasitized\C109P70ThinF_IMG_20150930_103645_cell_173_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8157769441604614,0.18422305583953857
D:\dataset\sr\val\parasitized\C109P70ThinF_IMG_20150930_103811_cell_157_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8744531273841858,0.12554682791233063
D:\dataset\sr\val\parasitized\C110P71ThinF_IMG_20150930_105559_cell_200_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9622709155082703,0.03772912546992302
D:\dataset\sr\val\parasitized\C110P71ThinF_IMG_20150930_110052_cell_238_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.5771064162254333,0.42289358377456665
D:\dataset\sr\val\parasitized\C110P71ThinF_IMG_20150930_110404_cell_157_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8226236701011658,0.17737635970115662
D:\dataset\sr\val\parasitized\C111P72ThinF_IMG_20150930_112609_cell_169_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8253132104873657,0.17468677461147308
D:\dataset\sr\val\parasitized\C111P72ThinF_IMG_20150930_112827_cell_179_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.6015387773513794,0.3984612226486206
D:\dataset\sr\val\parasitized\C112P73ThinF_IMG_20150930_131254_cell_184_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9958631992340088,0.004136756993830204
D:\dataset\sr\val\parasitized\C112P73ThinF_IMG_20150930_131401_cell_165_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9968658089637756,0.003134140046313405
D:\dataset\sr\val\parasitized\C112P73ThinF_IMG_20150930_131401_cell_167_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9983618855476379,0.0016380612505599856
D:\dataset\sr\val\parasitized\C112P73ThinF_IMG_20150930_131516_cell_177_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9890028238296509,0.010997154749929905
D:\dataset\sr\val\parasitized\C112P73ThinF_IMG_20150930_131516_cell_178_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.998456597328186,0.0015433825319632888
D:\dataset\sr\val\parasitized\C112P73ThinF_IMG_20150930_131605_cell_183_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9804194569587708,0.019580572843551636
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_134355_cell_164_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9890636801719666,0.010936368256807327
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_134429_cell_182_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.6351242661476135,0.3648757040500641
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_134429_cell_184_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8932892680168152,0.1067107543349266
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_134614_cell_170_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.7674951553344727,0.23250481486320496
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_134614_cell_173_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9946784973144531,0.005321487318724394
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_134614_cell_174_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9806209206581116,0.01937912032008171
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_134751_cell_173_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9543952345848083,0.04560476541519165
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_135904_cell_180_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9626211524009705,0.037378791719675064
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_135904_cell_182_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8671411275863647,0.13285887241363525
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_135904_cell_183_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.5549395084381104,0.44506049156188965
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_140646_cell_183_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.955951452255249,0.04404854029417038
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_140646_cell_184_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9999536275863647,4.640823317458853e-05
D:\dataset\sr\val\parasitized\C113P74ThinF_IMG_20150930_140646_cell_188_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9958966970443726,0.0041033439338207245
D:\dataset\sr\val\parasitized\C114P75ThinF_IMG_20150930_150013_cell_195_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.5992191433906555,0.4007807970046997
D:\dataset\sr\val\parasitized\C114P75ThinF_IMG_20150930_150833_cell_165_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9905385971069336,0.00946133490651846
D:\dataset\sr\val\parasitized\C114P75ThinF_IMG_20150930_151150_cell_177_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9834817051887512,0.01651828922331333
D:\dataset\sr\val\parasitized\C115P76ThinF_IMG_20150930_162038_cell_209_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.6478642821311951,0.35213571786880493
D:\dataset\sr\val\parasitized\C115P76ThinF_IMG_20150930_162315_cell_256_RCAN_BIX4-official.png,0,parasitized,1,uninfected,0,parasitized,True,0.4583398997783661,0.5416601300239563
D:\dataset\sr\val\parasitized\C116P77ThinF_IMG_20150930_171219_cell_88_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9945895671844482,0.005410452373325825
D:\dataset\sr\val\parasitized\C116P77ThinF_IMG_20150930_171219_cell_95_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9926787614822388,0.007321260403841734
D:\dataset\sr\val\parasitized\C116P77ThinF_IMG_20150930_171219_cell_96_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.7700393199920654,0.22996069490909576
